##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	demo_trimmed.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1249800
Sequences flagged as poor quality	0
Sequence length	2-100
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.774063850216034	31.0	31.0	34.0	30.0	34.0
2	32.12756281004961	33.0	31.0	34.0	30.0	34.0
3	32.29429221826154	34.0	31.0	34.0	30.0	34.0
4	35.919907630043284	37.0	35.0	37.0	35.0	37.0
5	35.92755540191696	37.0	35.0	37.0	35.0	37.0
6	35.769151359903205	37.0	35.0	37.0	33.0	37.0
7	35.747404653217494	37.0	35.0	37.0	33.0	37.0
8	35.7337949624166	37.0	35.0	37.0	33.0	37.0
9	37.42577314636957	39.0	37.0	39.0	34.0	39.0
10-11	37.455417152036674	39.0	37.0	39.0	34.0	39.0
12-13	37.34320977853604	39.0	37.0	39.0	34.0	39.0
14-15	38.53069691066415	40.0	38.0	41.0	34.0	41.0
16-17	38.48909840652908	40.0	38.0	41.0	34.0	41.0
18-19	38.49233918443778	40.0	38.0	41.0	34.0	41.0
20-21	38.44978747156152	40.0	38.0	41.0	34.0	41.0
22-23	38.46495300874338	40.0	38.0	41.0	34.0	41.0
24-25	37.70861292680161	39.5	37.0	41.0	32.0	41.0
26-27	36.57314774146254	39.0	35.0	41.0	29.0	41.0
28-29	36.28910736062809	39.0	35.0	41.0	27.0	41.0
30-31	36.23859592700854	39.0	35.0	41.0	27.5	41.0
32-33	36.31465190905456	39.0	35.0	41.0	28.0	41.0
34-35	36.2695534569804	39.0	35.0	41.0	27.5	41.0
36-37	36.224181760419796	39.0	35.0	41.0	27.5	41.0
38-39	36.16061932428457	39.0	35.0	41.0	27.5	41.0
40-41	36.05270304776457	38.5	34.5	41.0	27.5	41.0
42-43	35.93871291217837	38.0	34.0	41.0	27.0	41.0
44-45	35.87883287561513	38.0	34.0	40.5	27.0	41.0
46-47	35.820675675163514	38.0	34.0	40.0	27.0	41.0
48-49	35.658600151672324	38.0	33.5	40.0	27.0	41.0
50-51	35.6260843108584	38.0	33.5	40.0	27.0	41.0
52-53	35.51082340029371	38.0	33.0	40.0	27.0	41.0
54-55	35.35016694065567	38.0	33.0	40.0	26.5	41.0
56-57	35.17511364536007	37.5	33.0	40.0	26.0	41.0
58-59	35.005017796707264	37.0	33.0	40.0	26.0	41.0
60-61	34.85805013752122	37.0	33.0	40.0	26.0	41.0
62-63	34.6719391478674	36.0	33.0	40.0	26.0	41.0
64-65	34.5323356120873	36.0	32.5	39.0	26.0	41.0
66-67	34.306881443772326	35.5	32.0	39.0	26.0	41.0
68-69	34.008020965589175	35.0	32.0	39.0	26.0	41.0
70-71	33.7648071112593	35.0	32.0	38.5	26.0	40.0
72-73	33.54820965822631	35.0	31.5	37.5	26.0	40.0
74-75	33.24659709567412	35.0	31.0	37.0	26.0	39.5
76-77	33.02998834488682	35.0	31.0	36.5	26.0	39.0
78-79	32.808098799578936	35.0	31.0	36.0	26.0	39.0
80-81	32.55977590445407	34.5	31.0	36.0	25.0	37.5
82-83	32.472149378461125	34.0	31.0	35.0	25.5	37.0
84-85	32.55957738731161	35.0	31.0	35.0	26.0	37.0
86-87	32.47444742300344	34.5	31.0	35.0	26.0	36.5
88-89	32.41944874442397	34.0	31.0	35.0	26.0	36.0
90-91	32.36776754473818	34.0	31.0	35.0	26.0	36.0
92-93	32.36668451242073	34.0	31.0	35.0	26.0	36.0
94-95	32.45716067657841	34.0	32.0	35.0	26.5	35.0
96-97	32.58023754658912	34.0	32.0	35.0	27.0	35.0
98-99	32.75469590492366	34.0	32.0	35.0	27.5	35.0
100	32.79871514539068	34.0	32.0	35.0	28.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.21781814172981484
1101	2	0.15496845104636492
1101	3	0.14699163324443987
1101	4	0.12042854377845913
1101	5	0.09444265038938937
1101	6	0.10525372493097507
1101	7	0.08572800601819353
1101	8	0.03489788784003878
1101	9	0.11511571801647591
1101	10-11	0.0943304622249812
1101	12-13	0.10647734883720972
1101	14-15	0.07779904424608475
1101	16-17	0.15035743963089487
1101	18-19	0.1462550703955685
1101	20-21	0.16140306833684548
1101	22-23	0.15284014213334274
1101	24-25	0.21334406932862748
1101	26-27	0.19475712603391315
1101	28-29	0.17826435990909317
1101	30-31	0.1948650319675025
1101	32-33	0.11244913284382108
1101	34-35	0.21854138568971848
1101	36-37	0.17747128170672255
1101	38-39	0.19833804635329244
1101	40-41	0.31414652008040633
1101	42-43	0.21920609884341502
1101	44-45	0.06603372495830229
1101	46-47	0.17840263536261602
1101	48-49	0.0532276494567725
1101	50-51	0.22020991124333733
1101	52-53	0.2809930101261173
1101	54-55	0.20483647830381102
1101	56-57	0.060049326661676616
1101	58-59	0.1362124117572776
1101	60-61	-0.04914821165313299
1101	62-63	0.04175022588165689
1101	64-65	0.14616462122258866
1101	66-67	0.09925747096231419
1101	68-69	0.040289179710804035
1101	70-71	0.031601422458422235
1101	72-73	0.15259661628014953
1101	74-75	0.03336202002412847
1101	76-77	0.05325985997861693
1101	78-79	0.1569618465192093
1101	80-81	0.08936931543470195
1101	82-83	0.20800415238691272
1101	84-85	0.2010479561936478
1101	86-87	0.19145235136247152
1101	88-89	0.13032551494472244
1101	90-91	0.12838958458248584
1101	92-93	0.10934192187286129
1101	94-95	0.1015986113284697
1101	96-97	0.14034394795823601
1101	98-99	0.10348662653865404
1101	100	0.07631944329646956
1102	1	0.07167345835298278
1102	2	0.05781255431924137
1102	3	0.03318138297357365
1102	4	0.056930075520504886
1102	5	0.03876075198101603
1102	6	0.0437265493395671
1102	7	0.046919891041596884
1102	8	0.05862757762825055
1102	9	0.07177046784369168
1102	10-11	0.04813390427737119
1102	12-13	0.04539759838549173
1102	14-15	0.05226871556523349
1102	16-17	0.09713336399357075
1102	18-19	0.03885586810469022
1102	20-21	0.08551554533508465
1102	22-23	0.051690468171770476
1102	24-25	0.0396014609736568
1102	26-27	0.06281477692919424
1102	28-29	0.05478172499903167
1102	30-31	0.04600772114441298
1102	32-33	0.006473069881096194
1102	34-35	0.10511501709552107
1102	36-37	0.031026997915709842
1102	38-39	0.12789680898181643
1102	40-41	0.05581083894192318
1102	42-43	0.07894255910197501
1102	44-45	0.0705873190522226
1102	46-47	0.09688503778380664
1102	48-49	0.09612421194452736
1102	50-51	0.06476403629441307
1102	52-53	0.05428290984448125
1102	54-55	0.11558743225597112
1102	56-57	0.07801710576793397
1102	58-59	0.13662168991034918
1102	60-61	0.17299759692750882
1102	62-63	0.11517348491573642
1102	64-65	0.0784778595914517
1102	66-67	0.12378140590305264
1102	68-69	0.1180991943426335
1102	70-71	0.16010332660920312
1102	72-73	0.05698346870316584
1102	74-75	0.2018070310537965
1102	76-77	0.14502570949293414
1102	78-79	0.10421261752273381
1102	80-81	0.10518148555568985
1102	82-83	0.08972082900803713
1102	84-85	0.06434147333398244
1102	86-87	0.11386136491519494
1102	88-89	0.07342284882556527
1102	90-91	0.051913864327786996
1102	92-93	0.042089511493415444
1102	94-95	0.040103511238221756
1102	96-97	-0.0025902492096889773
1102	98-99	0.07363416465521766
1102	100	0.050407040179656804
1103	1	-0.0642976250318803
1103	2	-0.06089994468322857
1103	3	-0.04931339445684557
1103	4	-0.046348103107156646
1103	5	-0.041733324508832936
1103	6	-0.06131200793990388
1103	7	-0.038613685258091834
1103	8	-0.011287787005286987
1103	9	-0.08308042979745522
1103	10-11	-0.03972018468387262
1103	12-13	-2.428667890228553E-4
1103	14-15	-0.05876161449708661
1103	16-17	-0.10855942495870607
1103	18-19	-0.059428878754332004
